ID,Player Type,Winner?,Points,Total Money,Money from GO,Money from Chest,Money from properties,Starting Position,Number of Moves,Path,Times Passed Go,Times in Jail,Properties,Chest Cards,Chest Card Payout,Total Wait
2.0,greedy,Winner,7.0,23000,7000.0,6000,14000,0,28,"[5, 11, 16, 17, 20, 25, 30, 4, 8, 14, 16, 17, 23, 25, 30, 2, 7, 11, 13, 18, 19, 23, 26, 27, 1, 5, 11, 17]",7.0,0.0,"[5, 17, 20, 25, 30, 4, 2, 26, 27]","[3, 9, 11]","[[3, 2000], [9, 2000], [11, 1000], [11, 1000]]",19.830000000000005
3.0,greedy,Loser,8.0,13000,6000.0,2000,9000,0,27,"[1, 7, 9, 14, 19, 24, 8, 10, 13, 16, 21, 23, 27, 29, 2, 8, 11, 15, 18, 23, 28, 1, 2, 7, 8, 10, 16, 21]",6.0,1.0,"[1, 7, 9, 14, 19, 10, 21, 15, 28]","[1, 5, 8]","[[1, 2000]]",19.65
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,21,20.000774860382077,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Loser,5.0,11000,6000.0,0,8000,0,30,"[2, 6, 10, 13, 14, 18, 21, 22, 27, 0, 6, 9, 14, 17, 20, 25, 27, 28, 0, 2, 6, 10, 13, 16, 22, 28, 1, 4, 8, 14]",6.0,0.0,"[2, 13, 14, 18, 21, 22, 9, 27]","[10, 1, 2]",[],19.860000000000007
2.0,greedy,Loser,7.0,12000,5000.0,0,11000,0,28,"[5, 11, 12, 16, 17, 20, 25, 31, 1, 2, 4, 7, 9, 14, 19, 20, 23, 27, 29, 1, 2, 3, 7, 13, 14, 19, 24, 8, 14]",5.0,1.0,"[5, 11, 12, 20, 25, 31, 4, 29, 7]","[5, 9, 8]",[],19.89
3.0,greedy,Winner,9.0,15000,6000.0,2000,10000,0,28,"[6, 10, 12, 17, 23, 28, 1, 3, 6, 9, 13, 19, 20, 21, 23, 29, 3, 5, 9, 12, 13, 18, 23, 28, 31, 1, 3, 6]",6.0,0.0,"[6, 10, 17, 23, 28, 1, 3, 19]","[11, 12, 4]","[[11, 1000], [12, 1000]]",19.75
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,22,20.100140094757077,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
